country,oil_production,Percentage,Rank,Latitude,Longitude
Kuwait,1694.665,4.04,8,29.3375,47.6581
Kyrgyzstan,0.631,0.0,78,41.0,75.0
Latvia,0.0,0.0,87,57.0,25.0
Lebanon,0.0,0.0,87,33.8333,35.8333
Lesotho,0.0,0.0,87,-29.5,28.5
Liberia,0.0,0.0,87,6.5,-9.5
Lithuania,1.263,0.0,76,56.0,24.0
Luxembourg,0.0,0.0,87,49.75,6.1667
Macao,0.0,0.0,87,22.1667,113.55
Madagascar,0.0,0.0,87,-20.0,47.0
Malawi,0.0,0.0,87,-13.5,34.0
Malaysia,296.88,0.71,26,2.5,112.5
Maldives,0.0,0.0,87,3.25,73.0
Mali,0.0,0.0,87,17.0,-4.0
Malta,0.0,0.0,87,35.8333,14.5833
Martinique,0.0,0.0,87,14.6667,-61.0
Mauritania,3.04,0.01,70,20.0,-12.0
Mauritius,0.0,0.0,87,-20.2833,57.55
Mexico,1136.017,2.71,9,23.0,-102.0
Mongolia,15.115,0.04,55,46.0,105.0
Montenegro,0.0,0.0,87,42.0,19.0
Montserrat,0.0,0.0,87,16.75,-62.2
Morocco,0.099,0.0,84,32.0,-5.0
Mozambique,0.0,0.0,87,-18.25,35.0
Myanmar,9.788,0.02,64,22.0,98.0
Namibia,0.0,0.0,87,-22.0,17.0
Nauru,0.0,0.0,87,-0.5333,166.9167
Nepal,0.0,0.0,87,28.0,84.0
Netherlands,14.758,0.04,56,52.5,5.75
New Caledonia,0.0,0.0,87,-21.5,165.5
New Zealand,22.911,0.05,51,-41.0,174.0
Nicaragua,0.0,0.0,87,13.0,-85.0
Niger,8.276,0.02,66,16.0,8.0
Nigeria,802.536,1.91,13,10.0,8.0
Niue,0.0,0.0,87,-19.0333,-169.8667
Northern Mariana Islands,0.0,0.0,87,15.2,145.75
Norway,1034.509,2.46,10,62.0,10.0
Oman,598.334,1.42,16,21.0,57.0
Pakistan,54.91,0.13,38,30.0,70.0
Panama,0.0,0.0,87,9.0,-80.0
Papua New Guinea,33.705,0.08,47,-6.0,147.0
Paraguay,0.0,0.0,87,-23.0,-58.0
Peru,62.661,0.15,36,-10.0,-76.0
Philippines,12.672,0.03,58,13.0,122.0
Poland,12.561,0.03,60,52.0,20.0
Portugal,0.0,0.0,87,39.5,-8.0
Puerto Rico,0.0,0.0,87,18.25,-66.5
Qatar,861.595,2.05,12,25.5,51.25
Romania,36.309,0.09,43,46.0,25.0
Rwanda,0.0,0.0,87,-2.0,30.0
Saint Kitts and Nevis,0.0,0.0,87,17.3333,-62.75
Saint Lucia,0.0,0.0,87,13.8833,-61.1333
Saint Pierre and Miquelon,0.0,0.0,87,46.8333,-56.3333
Saint Vincent and the Grenadines,0.0,0.0,87,13.25,-61.2
Samoa,0.0,0.0,87,-13.5833,-172.3333
Sao Tome and Principe,0.0,0.0,87,1.0,7.0
Saudi Arabia,6665.056,15.87,2,25.0,45.0
Senegal,0.0,0.0,87,14.0,-14.0
Serbia,12.97,0.03,57,44.0,21.0
Seychelles,0.0,0.0,87,-4.5833,55.6667
Sierra Leone,0.0,0.0,87,8.5,-11.5
Singapore,0.0,0.0,87,1.3667,103.8
Slovakia,0.133,0.0,82,48.6667,19.5
Slovenia,0.003,0.0,86,46.0,15.0
Solomon Islands,0.0,0.0,87,-8.0,159.0
Somalia,0.0,0.0,87,10.0,49.0
South Africa,2.712,0.01,71,-29.0,24.0
South Sudan,80.804,0.19,32,8.0,30.0
Spain,1.655,0.0,74,40.0,-4.0
Sri Lanka,0.0,0.0,87,7.0,81.0
Sudan,35.488,0.08,45,15.0,30.0
Suriname,11.536,0.03,61,4.0,-56.0
Sweden,0.0,0.0,87,62.0,15.0
Switzerland,0.0,0.0,87,47.0,8.0
Tajikistan,0.114,0.0,83,39.0,71.0
Thailand,134.917,0.32,30,15.0,100.0
Togo,0.0,0.0,87,8.0,1.1667
Tonga,0.0,0.0,87,-20.0,-175.0
Trinidad and Tobago,39.383,0.09,41,11.0,-61.0
Tunisia,21.418,0.05,52,34.0,9.0
Turkmenistan,135.104,0.32,29,40.0,60.0
Turks and Caicos Islands,0.0,0.0,87,21.75,-71.5833
Uganda,0.0,0.0,87,1.0,32.0
Ukraine,28.341,0.07,50,49.0,32.0
United Arab Emirates,2106.386,5.02,6,24.0,54.0
United Kingdom,421.485,1.0,19,54.0,-2.0
United States,8832.521,21.03,1,38.0,-97.0
Uruguay,0.0,0.0,87,-33.0,-56.0
Uzbekistan,33.091,0.08,48,41.0,64.0
Vanuatu,0.0,0.0,87,-16.0,167.0
Western Sahara,0.0,0.0,87,24.5,-13.0
Yemen,39.605,0.09,40,15.0,48.0
Zambia,0.0,0.0,87,-15.0,30.0
Zimbabwe,0.0,0.0,87,-20.0,30.0
